experiment_id,dataset_name,seed,data_fraction,n_samples,n_features,model_family,params,train_time_s,roc_auc,emissions_kg
222,penguins_adelie,114553,0.9092460497374955,310,4,mlp,"{'hidden_layer_sizes': (95,), 'max_iter': 109, 'activation': 'relu', 'solver': 'adam'}",0.06859612464904785,1.0,1.7400327869798358e-06
223,penguins_adelie,679322,0.4735415508365283,161,4,mlp,"{'hidden_layer_sizes': (175,), 'max_iter': 78, 'activation': 'relu', 'solver': 'adam'}",0.05878734588623047,1.0,1.269055228563682e-06
225,penguins_adelie,534168,0.6598975436984269,225,4,mlp,"{'hidden_layer_sizes': (131, 66, 158), 'max_iter': 111, 'activation': 'relu', 'solver': 'adam'}",0.1611487865447998,1.0,3.749791631539055e-06
226,penguins_adelie,855673,0.6761702723306975,231,4,mlp,"{'hidden_layer_sizes': (45,), 'max_iter': 200, 'activation': 'relu', 'solver': 'adam'}",0.09011292457580566,1.0,1.7979603945350486e-06
227,penguins_adelie,219491,0.3074935306504492,105,4,mlp,"{'hidden_layer_sizes': (21, 84, 104), 'max_iter': 188, 'activation': 'relu', 'solver': 'adam'}",0.11840081214904785,1.0,2.766527439439963e-06
228,penguins_adelie,67166,0.3615832301510253,123,4,mlp,"{'hidden_layer_sizes': (29, 79), 'max_iter': 62, 'activation': 'relu', 'solver': 'adam'}",0.04092979431152344,1.0,7.439587461577176e-07
229,penguins_adelie,963144,0.47463396990312623,162,4,mlp,"{'hidden_layer_sizes': (13, 67), 'max_iter': 118, 'activation': 'relu', 'solver': 'adam'}",0.05476880073547363,1.0,1.2083349182169922e-06
230,penguins_adelie,959209,0.8015704972599325,274,4,mlp,"{'hidden_layer_sizes': (95, 90), 'max_iter': 183, 'activation': 'relu', 'solver': 'adam'}",0.21282458305358887,1.0,4.914971769299669e-06
231,penguins_adelie,346707,0.3880776935045276,132,4,mlp,"{'hidden_layer_sizes': (113, 197), 'max_iter': 92, 'activation': 'relu', 'solver': 'adam'}",0.09732937812805176,1.0,2.2092941554993956e-06
232,penguins_adelie,306010,0.7938543595343814,271,4,mlp,"{'hidden_layer_sizes': (117, 72, 180), 'max_iter': 187, 'activation': 'relu', 'solver': 'adam'}",0.18073105812072754,1.0,3.969031891349533e-06
233,penguins_adelie,653439,0.43950663321186045,150,4,mlp,"{'hidden_layer_sizes': (51, 122), 'max_iter': 143, 'activation': 'relu', 'solver': 'adam'}",0.09854888916015625,1.0,2.1626320872555713e-06
234,penguins_adelie,155441,0.899451492232646,307,4,mlp,"{'hidden_layer_sizes': (56, 67, 71), 'max_iter': 76, 'activation': 'relu', 'solver': 'adam'}",0.10702323913574219,1.0,2.4039327243085505e-06
235,penguins_adelie,561489,0.8335795401130992,285,4,mlp,"{'hidden_layer_sizes': (64,), 'max_iter': 59, 'activation': 'relu', 'solver': 'adam'}",0.03321695327758789,0.9974999999999999,8.189909633436054e-07
236,penguins_adelie,860967,0.9957613991480199,340,4,mlp,"{'hidden_layer_sizes': (159, 131), 'max_iter': 116, 'activation': 'relu', 'solver': 'adam'}",0.24648427963256836,1.0,5.469830832460864e-06
